"species","status"
"Acianthera chrysantha","LC"
"Acianthera hondurensis","LC"
"Acianthera malachantha","LC"
"Acianthera saundersiana","LC"
"Aerangis gracillima","LC"
"Aerangis hyaloides","VU"
"Aerangis macrocentra","VU"
"Aerangis monantha","EN"
"Aerangis pallidiflora","EN"
"Aerangis punctata","EN"
"Aerangis seegeri","EN"
"Aeranthes angustidens","EN"
"Aeranthes antennophora","EN"
"Aeranthes ecalcarata","VU"
"Aeranthes leandriana","CR"
"Aeranthes multinodis","CR"
"Aeranthes polyanthemus","EN"
"Aeranthes schlechteri","VU"
"Aeranthes setipes","EN"
"Aeranthes strangulata","EN"
"Aeranthes tropophila","EN"
"Agrostophyllum cyathiforme","LC"
"Agrostophyllum laterale","LC"
"Altensteinia longispicata","LC"
"Amitostigma capitatum","LC"
"Amitostigma hemipilioides","LC"
"Amitostigma simplex","EN"
"Amitostigma tetralobum","LC"
"Anacamptis boryi","LC"
"Anacamptis palustris","LC"
"Anacamptis sancta","LC"
"Anathallis minutalis","LC"
"Ancistrochilus thomsonianus","LC"
"Ancistrorhynchus crystalensis","EN"
"Ancistrorhynchus laxiflorus","EN"
"Ancistrorhynchus parviflorus","EN"
"Ancistrorhynchus refractus","EN"
"Ancistrorhynchus serratus","EN"
"Ancistrorhynchus tenuicaulis","LC"
"Angraecopsis cryptantha","CR"
"Angraecopsis lisowskii","EN"
"Angraecopsis parva","EN"
"Angraecopsis tenerrima","EN"
"Angraecopsis tridens","EN"
"Angraecum alleizettei","CR"
"Angraecum amplexicaule","EN"
"Angraecum angustum","EN"
"Angraecum ankeranense","EN"
"Angraecum aporoides","LC"
"Angraecum atlanticum","EN"
"Angraecum bancoense","LC"
"Angraecum bicallosum","EN"
"Angraecum compactum","VU"
"Angraecum cornucopiae","EN"
"Angraecum coutrixii","CR"
"Angraecum cribbianum","CR"
"Angraecum curvipes","EN"
"Angraecum danguyanum","VU"
"Angraecum dendrobiopsis","VU"
"Angraecum distichum","LC"
"Angraecum doratophyllum","EN"
"Angraecum egertonii","LC"
"Angraecum gabonense","LC"
"Angraecum humbertii","EN"
"Angraecum humblotianum","EN"
"Angraecum mahavavense","CR"
"Angraecum moratii","CR"
"Angraecum obesum","EN"
"Angraecum penzigianum","CR"
"Angraecum perhumile","CR"
"Angraecum peyrotii","CR"
"Angraecum pinifolium","EN"
"Angraecum podochiloides","LC"
"Angraecum potamophilum","EN"
"Angraecum protensum","CR"
"Angraecum pseudodidieri","CR"
"Angraecum pseudofilicornu","VU"
"Angraecum pungens","LC"
"Angraecum pyriforme","EN"
"Angraecum rigidifolium","CR"
"Angraecum rubellum","CR"
"Angraecum sambiranoense","EN"
"Angraecum sanfordii","EN"
"Angraecum serpens","CR"
"Angraecum setipes","VU"
"Angraecum sterrophyllum","CR"
"Angraecum subulatum","LC"
"Angraecum triangulifolium","EN"
"Anguloa cliftonii","LC"
"Anoectochilus sandvicensis","LC"
"Anoectochilus zhejiangensis","EN"
"Ansellia africana","LC"
"Appendicula calcarata","LC"
"Appendicula longirostrata","LC"
"Appendicula tenuispica","LC"
"Arethusa bulbosa","LC"
"Barbosella geminata","LC"
"Barkeria naevosa","LC"
"Bartholina etheliae","LC"
"Basiphyllaea corallicola","LC"
"Benthamia calceolata","CR"
"Benthamia elata","CR"
"Benthamia glaberrima","EN"
"Benthamia humbertii","EN"
"Benthamia monophylla","EN"
"Benthamia nigrescens","EN"
"Benthamia nivea","EN"
"Benthamia perularioides","CR"
"Benthamia praecox","EN"
"Benthamia procera","CR"
"Benthamia rostrata","CR"
"Bletia ensifolia","LC"
"Brachionidium dressleri","EN"
"Brachionidium pteroglossum","CR"
"Brachycorythis disoides","EN"
"Brassia lanceana","LC"
"Brassia maculata","LC"
"Brassia verrucosa","LC"
"Brassia wageneri","LC"
"Bromheadia finlaysoniana","LC"
"Broughtonia negrilensis","EN"
"Bryobium eriaeoides","LC"
"Bulbophyllum aggregatum","EN"
"Bulbophyllum alveatum","LC"
"Bulbophyllum analamazoatrae","VU"
"Bulbophyllum anjozorobeense","CR"
"Bulbophyllum ankylochele","LC"
"Bulbophyllum ankylorhinon","LC"
"Bulbophyllum antennatum","LC"
"Bulbophyllum atrosanguineum","EN"
"Bulbophyllum auriflorum","VU"
"Bulbophyllum ballii","EN"
"Bulbophyllum baronii","EN"
"Bulbophyllum betchei","LC"
"Bulbophyllum bicoloratum","EN"
"Bulbophyllum bifarium","EN"
"Bulbophyllum bigibbum","LC"
"Bulbophyllum bliteum","LC"
"Bulbophyllum brachypetalum","LC"
"Bulbophyllum brassii","LC"
"Bulbophyllum breviflorum","LC"
"Bulbophyllum bryophilum","EN"
"Bulbophyllum callichroma","LC"
"Bulbophyllum callosum","EN"
"Bulbophyllum calviventer","LC"
"Bulbophyllum calvum","LC"
"Bulbophyllum calyptropus","CR"
"Bulbophyllum cardiobulbum","EN"
"Bulbophyllum cateorum","LC"
"Bulbophyllum cauliflorum","LC"
"Bulbophyllum ceriodorum","CR"
"Bulbophyllum colliferum","LC"
"Bulbophyllum concatenatum","EN"
"Bulbophyllum cruttwellii","LC"
"Bulbophyllum cycloglossum","LC"
"Bulbophyllum debile","EN"
"Bulbophyllum dekockii","LC"
"Bulbophyllum delitescens","EN"
"Bulbophyllum dendrochiloides","LC"
"Bulbophyllum desmotrichoides","LC"
"Bulbophyllum discolor","LC"
"Bulbophyllum encephalodes","LC"
"Bulbophyllum erinaceum","LC"
"Bulbophyllum erythroglossum","CR"
"Bulbophyllum fayi","LC"
"Bulbophyllum fonsflorum","LC"
"Bulbophyllum fractiflexum","LC"
"Bulbophyllum grammopoma","LC"
"Bulbophyllum gravidum","CR"
"Bulbophyllum gyaloglossum","LC"
"Bulbophyllum hamelinii","VU"
"Bulbophyllum hirsutiusculum","CR"
"Bulbophyllum hirudiniferum","VU"
"Bulbophyllum horizontale","EN"
"Bulbophyllum imitator","LC"
"Bulbophyllum ischnopus","LC"
"Bulbophyllum jaapii","LC"
"Bulbophyllum jumelleanum","EN"
